,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
91,SVC,Extraversion,keep median,pearson,solver,mean_strl,1.406,roc_auc_ovr_weighted,11,49,100.0,0,81.501,81.356,80.702,89.827,45.238,46.774,54.795,46.984
92,SVC,Neuroticism,keep median,pearson,solver,mean_strl,1.291,roc_auc_ovr_weighted,10,45,100.0,0,70.978,71.186,68.519,66.464,52.456,51.613,46.429,56.635
93,SVC,Neuroticism,keep median,pearson,solver,mean_FA,1.262,roc_auc_ovr_weighted,10,44,100.0,0,73.814,74.576,70.0,86.661,53.762,53.226,50.847,47.544
94,SVC,Extraversion,keep median,pearson,solver,mean_FA,1.234,roc_auc_ovr_weighted,10,43,100.0,0,85.354,85.593,84.112,13.997,48.783,48.387,50.0,52.434
95,SVC,Extraversion,keep median,pearson,solver,mean_strl,1.176,roc_auc_ovr_weighted,10,41,100.0,0,50.0,53.39,0.0,27.186,50.0,43.548,0.0,52.91
96,SVC,Extraversion,keep median,pearson,solver,num_streamlines,1.147,roc_auc_ovr_weighted,10,40,100.0,0,50.0,53.39,0.0,7.1,50.0,43.548,0.0,48.995
97,SVC,Extraversion,keep median,pearson,solver,mean_FA,1.033,roc_auc_ovr_weighted,9,36,100.0,0,50.0,46.61,63.584,38.499,50.0,56.452,72.165,45.608
98,SVC,Neuroticism,keep median,pearson,solver,mean_strl,1.004,roc_auc_ovr_weighted,9,35,100.0,0,50.0,54.237,0.0,20.197,50.0,46.774,0.0,55.799
99,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,0.975,roc_auc_ovr_weighted,9,34,100.0,0,81.568,82.203,79.208,87.037,43.626,43.548,44.444,36.102
100,SVC,Neuroticism,keep median,pearson,solver,mean_FA,0.918,roc_auc_ovr_weighted,9,32,100.0,0,71.123,71.186,69.091,68.142,37.147,37.097,38.095,35.319
101,SVC,Neuroticism,keep median,pearson,solver,num_streamlines,0.803,roc_auc_ovr_weighted,8,28,100.0,0,50.0,54.237,0.0,88.021,50.0,46.774,0.0,32.079
102,SVC,Neuroticism,keep median,pearson,solver,mean_strl,0.775,roc_auc_ovr_weighted,8,27,100.0,0,100.0,100.0,100.0,100.0,55.747,56.452,61.972,56.374
103,SVC,Neuroticism,keep median,pearson,solver,mean_FA,0.746,roc_auc_ovr_weighted,8,26,100.0,0,50.0,54.237,0.0,33.507,50.0,46.774,0.0,47.283
104,SVC,Extraversion,keep median,pearson,solver,mean_FA,0.717,roc_auc_ovr_weighted,8,25,100.0,0,50.0,46.61,63.584,40.693,50.0,56.452,72.165,50.265
105,SVC,Extraversion,keep median,pearson,solver,mean_FA,0.602,roc_auc_ovr_weighted,7,21,100.0,0,67.302,67.797,63.462,68.139,49.947,51.613,59.459,54.709
106,SVC,Extraversion,keep median,pearson,solver,mean_strl,0.574,roc_auc_ovr_weighted,7,20,100.0,0,50.0,53.39,0.0,34.488,50.0,43.548,0.0,61.481
107,SVC,Neuroticism,keep median,pearson,solver,mean_FA,0.545,roc_auc_ovr_weighted,7,19,100.0,0,67.014,66.102,67.742,72.02,46.447,46.774,50.746,41.275
108,SVC,Neuroticism,keep median,pearson,solver,mean_strl,0.43,roc_auc_ovr_weighted,6,15,100.0,0,50.0,54.237,0.0,38.484,50.0,46.774,0.0,55.486
109,SVC,Neuroticism,keep median,pearson,solver,mean_FA,0.402,roc_auc_ovr_weighted,6,14,100.0,0,50.0,54.237,0.0,34.983,50.0,46.774,0.0,57.262
110,SVC,Neuroticism,keep median,pearson,solver,mean_FA,0.287,roc_auc_ovr_weighted,5,10,100.0,0,56.597,57.627,48.98,34.606,39.707,38.71,29.63,63.532
111,SVC,Extraversion,keep median,pearson,solver,mean_strl,0.229,roc_auc_ovr_weighted,5,8,100.0,0,50.0,53.39,0.0,58.413,50.0,43.548,0.0,52.698
112,SVC,Neuroticism,keep median,pearson,solver,mean_FA,0.172,roc_auc_ovr_weighted,4,6,100.0,0,60.156,61.017,54.0,69.01,56.322,54.839,44.0,52.038
113,RF,Extraversion,keep median,pearson,solver,mean_strl,8.95,roc_auc_ovr_weighted,29,312,100.0,0,100.0,100.0,100.0,100.0,41.481,38.71,26.923,48.677
114,RF,Neuroticism,keep median,pearson,solver,num_streamlines,8.921,roc_auc_ovr_weighted,29,311,100.0,0,100.0,100.0,100.0,100.0,49.634,48.387,38.462,45.35
115,RF,Neuroticism,keep median,pearson,solver,mean_FA,8.893,roc_auc_ovr_weighted,29,310,100.0,0,100.0,100.0,100.0,100.0,44.671,43.548,33.962,35.11
116,RF,Extraversion,keep median,pearson,solver,mean_FA,8.778,roc_auc_ovr_weighted,29,306,100.0,0,100.0,100.0,100.0,100.0,54.18,51.613,44.444,54.18
117,RF,Neuroticism,keep median,pearson,solver,num_streamlines,8.692,roc_auc_ovr_weighted,28,303,100.0,0,100.0,100.0,100.0,100.0,38.819,37.097,17.021,28.997
118,RF,Extraversion,keep median,pearson,solver,num_streamlines,8.52,roc_auc_ovr_weighted,28,297,100.0,0,100.0,100.0,100.0,100.0,49.365,50.0,55.072,52.487
119,RF,Extraversion,keep median,pearson,solver,mean_FA,8.462,roc_auc_ovr_weighted,28,295,100.0,0,100.0,100.0,100.0,100.0,39.206,37.097,29.091,44.339
120,RF,Neuroticism,keep median,pearson,solver,mean_FA,8.405,roc_auc_ovr_weighted,28,293,100.0,0,96.441,96.61,96.226,99.913,45.35,45.161,45.161,42.424
121,RF,Neuroticism,keep median,pearson,solver,num_streamlines,8.032,roc_auc_ovr_weighted,27,280,100.0,0,100.0,100.0,100.0,100.0,46.813,45.161,29.167,41.275
122,RF,Extraversion,keep median,pearson,solver,mean_FA,7.975,roc_auc_ovr_weighted,27,278,100.0,0,100.0,100.0,100.0,100.0,48.042,45.161,34.615,46.72
123,RF,Neuroticism,keep median,pearson,solver,mean_FA,7.917,roc_auc_ovr_weighted,27,276,100.0,0,100.0,100.0,100.0,100.0,32.184,32.258,34.375,30.878
124,RF,Neuroticism,keep median,pearson,solver,num_streamlines,7.803,roc_auc_ovr_weighted,26,272,100.0,0,100.0,100.0,100.0,100.0,40.543,38.71,17.391,36.155
125,RF,Neuroticism,keep median,pearson,solver,mean_strl,7.602,roc_auc_ovr_weighted,28,265,100.0,0,100.0,100.0,100.0,100.0,49.425,48.387,40.741,57.576
126,RF,Neuroticism,keep median,pearson,solver,mean_FA,7.487,roc_auc_ovr_weighted,26,261,100.0,0,100.0,100.0,100.0,100.0,40.596,40.323,39.344,38.245
127,RF,Extraversion,keep median,pearson,solver,mean_FA,7.344,roc_auc_ovr_weighted,26,256,100.0,0,100.0,100.0,100.0,100.0,41.058,38.71,29.63,46.561
128,RF,Extraversion,keep median,pearson,solver,mean_strl,7.315,roc_auc_ovr_weighted,26,255,100.0,0,100.0,100.0,100.0,100.0,43.915,41.935,35.714,46.085
129,RF,Neuroticism,keep median,pearson,solver,mean_strl,7.2,roc_auc_ovr_weighted,27,251,100.0,0,100.0,100.0,100.0,100.0,50.052,48.387,33.333,54.963
130,RF,Neuroticism,keep median,pearson,solver,mean_FA,7.028,roc_auc_ovr_weighted,25,245,100.0,0,100.0,100.0,100.0,100.0,31.296,30.645,24.561,28.84
131,RF,Neuroticism,keep median,pearson,solver,num_streamlines,6.999,roc_auc_ovr_weighted,25,244,100.0,0,100.0,100.0,100.0,100.0,49.425,48.387,40.741,47.388
132,RF,Extraversion,keep median,pearson,solver,mean_FA,6.942,roc_auc_ovr_weighted,25,242,100.0,0,100.0,100.0,100.0,100.0,45.767,43.548,36.364,48.889
