,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_features,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted,Self_loops,ROI_strl_thresh
144,SVC,Extraversion,keep median,pearson,baseline,mean_FA,100,balanced_accuracy,3486,56.151,56.41,52.778,48.446,48.352,48.936,53.846,52.93,False,0
145,SVC,Agreeableness,keep median,pearson,baseline,num_streamlines,2,balanced_accuracy,70,91.174,91.781,90.323,98.788,42.195,40.426,48.148,44.796,False,0
146,SVC,Agreeableness,keep median,pearson,baseline,num_streamlines,5,balanced_accuracy,175,98.75,98.63,98.507,100.0,47.738,55.319,67.692,49.321,False,0
147,SVC,Agreeableness,keep median,pearson,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,51.244,63.83,76.056,57.919,False,0
148,SVC,Agreeableness,keep median,pearson,baseline,num_streamlines,50,balanced_accuracy,1744,100.0,100.0,100.0,100.0,59.276,61.702,70.968,62.896,False,0
149,SVC,Agreeableness,keep median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,90.455,90.411,89.552,16.515,61.312,68.085,77.612,36.425,False,0
150,RF,Openness,test throw median,pearson,baseline,mean_FA,2,balanced_accuracy,70,100.0,100.0,100.0,100.0,58.75,58.333,59.459,60.0,False,0
151,RF,Openness,test throw median,pearson,baseline,mean_FA,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,62.5,61.111,58.824,60.312,False,0
152,RF,Openness,test throw median,pearson,baseline,mean_FA,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,53.75,52.778,51.429,61.562,False,0
153,RF,Openness,test throw median,pearson,baseline,mean_FA,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,49.375,47.222,38.71,47.656,False,0
154,RF,Openness,test throw median,pearson,baseline,mean_FA,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,32.5,30.556,19.355,35.938,False,0
155,RF,Extraversion,test throw median,pearson,baseline,num_streamlines,2,balanced_accuracy,70,100.0,100.0,100.0,100.0,57.018,56.757,52.941,61.988,False,0
156,RF,Extraversion,test throw median,pearson,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,57.456,56.757,42.857,61.404,False,0
157,RF,Extraversion,test throw median,pearson,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,54.678,54.054,41.379,63.012,False,0
158,RF,Extraversion,test throw median,pearson,baseline,num_streamlines,50,balanced_accuracy,1781,100.0,100.0,100.0,100.0,38.158,37.838,30.303,45.906,False,0
159,RF,Extraversion,test throw median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,47.076,45.946,9.091,41.52,False,0
160,RF,Extraversion,test throw median,pearson,baseline,mean_strl,2,balanced_accuracy,70,100.0,100.0,100.0,100.0,54.094,54.054,54.054,52.632,False,0
161,RF,Extraversion,test throw median,pearson,baseline,mean_strl,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,48.977,48.649,42.424,50.877,False,0
162,RF,Extraversion,test throw median,pearson,baseline,mean_strl,10,balanced_accuracy,350,100.0,100.0,100.0,100.0,46.053,45.946,44.444,44.152,False,0
163,RF,Extraversion,test throw median,pearson,baseline,mean_strl,50,balanced_accuracy,1791,100.0,100.0,100.0,100.0,35.673,35.135,20.0,47.076,False,0
