,Unnamed: 0,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num edges,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
50,50,RF,Gender,random,fscores,baseline,mean_strl,2.0,balanced_accuracy,71,98.795,98.58200000000001,98.78,99.958,62.71,62.903,59.648999999999994,72.374
51,51,RF,Gender,random,fscores,baseline,mean_strl,5.0,balanced_accuracy,175,96.552,97.163,97.647,99.709,58.613,58.065,58.065,70.063
52,52,RF,Gender,random,fscores,baseline,mean_strl,10.0,balanced_accuracy,353,100.0,100.0,100.0,100.0,58.613,58.065,58.065,68.12
55,55,RF,Gender,random,fscores,baseline,num_streamlines,2.0,balanced_accuracy,71,100.0,100.0,100.0,100.0,76.99600000000001,75.806,76.923,87.65799999999999
56,56,RF,Gender,random,fscores,baseline,num_streamlines,5.0,balanced_accuracy,175,100.0,100.0,100.0,100.0,71.639,70.968,70.968,85.714
57,57,RF,Gender,random,fscores,baseline,num_streamlines,10.0,balanced_accuracy,351,100.0,100.0,100.0,100.0,79.937,79.032,79.365,90.494
60,60,MLP,Gender,random,t_test,baseline,num_streamlines,2.0,balanced_accuracy,70,100.0,100.0,100.0,100.0,73.109,72.581,72.131,85.714
61,61,MLP,Gender,random,t_test,baseline,num_streamlines,5.0,balanced_accuracy,175,100.0,100.0,100.0,100.0,84.03399999999999,83.87100000000001,82.759,90.65100000000001
62,62,MLP,Gender,random,t_test,baseline,num_streamlines,10.0,balanced_accuracy,349,100.0,100.0,100.0,100.0,84.03399999999999,83.87100000000001,82.759,90.96600000000001
65,65,MLP,Gender,random,t_test,baseline,mean_strl,2.0,balanced_accuracy,70,84.836,85.816,88.235,90.34100000000001,68.382,67.742,67.742,72.059
66,66,MLP,Gender,random,t_test,baseline,mean_strl,5.0,balanced_accuracy,175,83.97399999999999,85.10600000000001,87.719,93.37299999999999,77.521,77.419,75.862,81.618
67,67,MLP,Gender,random,t_test,baseline,mean_strl,10.0,balanced_accuracy,349,100.0,100.0,100.0,100.0,67.122,67.742,62.963,81.618
70,70,MLP,Gender,random,fscores,baseline,mean_FA,2.0,balanced_accuracy,71,81.99,83.68799999999999,86.85700000000001,88.16,63.971000000000004,62.903,64.615,73.214
71,71,MLP,Gender,random,fscores,baseline,mean_FA,5.0,balanced_accuracy,175,85.781,87.234,89.655,91.525,64.811,64.516,63.333,75.63
72,72,MLP,Gender,random,fscores,baseline,mean_FA,10.0,balanced_accuracy,353,93.02,93.617,94.675,96.365,76.05,75.806,74.57600000000001,83.29799999999999
75,75,MLP,Gender,random,t_test,baseline,mean_FA,2.0,balanced_accuracy,70,85.096,85.816,88.095,91.62899999999999,68.382,67.742,67.742,78.571
76,76,MLP,Gender,random,t_test,baseline,mean_FA,5.0,balanced_accuracy,175,82.852,84.397,87.35600000000001,90.92200000000001,68.382,67.742,67.742,74.265
77,77,MLP,Gender,random,t_test,baseline,mean_FA,10.0,balanced_accuracy,349,100.0,100.0,100.0,100.0,72.164,72.581,69.09100000000001,83.088
80,80,MLP,Gender,random,fscores,baseline,mean_strl,2.0,balanced_accuracy,71,80.785,82.27,85.54899999999999,88.43,69.013,67.742,69.697,72.059
81,81,MLP,Gender,random,fscores,baseline,mean_strl,5.0,balanced_accuracy,175,85.179,86.525,89.01700000000001,93.99700000000001,70.168,69.355,69.84100000000001,74.265
82,82,MLP,Gender,random,fscores,baseline,mean_strl,10.0,balanced_accuracy,353,92.678,92.90799999999999,93.976,96.96700000000001,67.437,67.742,64.286,79.937
85,85,MLP,Gender,random,fscores,baseline,num_streamlines,2.0,balanced_accuracy,71,100.0,100.0,100.0,100.0,73.42399999999999,72.581,73.016,85.819
86,86,MLP,Gender,random,fscores,baseline,num_streamlines,5.0,balanced_accuracy,175,100.0,100.0,100.0,100.0,77.836,77.419,76.667,90.546
87,87,MLP,Gender,random,fscores,baseline,num_streamlines,10.0,balanced_accuracy,351,100.0,100.0,100.0,100.0,74.895,74.194,74.194,89.391
